Ward,Year,TimeSlot,Month,Crime_Count,Latitude,Longitude
54,2008,Afternoon,4,1,22.33910682,88.37991313
54,2021,Evening,9,1,22.33931831,88.37900812
54,2005,Afternoon,3,1,22.34033589,88.37909992
54,2022,Evening,5,1,22.34035884,88.37762204
54,2003,Evening,3,1,22.34153881,88.37939502
54,2003,Evening,5,1,22.34153975,88.37924502
54,2003,Night,12,1,22.34311123,88.41368914
54,2005,Morning,8,1,22.34317808,88.37881319
55,2012,Night,6,1,22.34402373,88.45624244
55,2005,Night,4,1,22.34414722,88.45624396
55,2023,Morning,11,4,22.34545481,88.45314166
55,2001,Morning,5,1,22.34579721,88.45852556
55,2003,Morning,4,1,22.34593133,88.46644177
55,2004,Evening,6,1,22.34593133,88.46644177
55,2018,Afternoon,2,1,22.34593133,88.46644177
55,2002,Morning,4,2,22.3461129,88.44736928
55,2022,Evening,6,1,22.34619001,88.44411731
55,2002,Morning,5,7,22.34625879,88.4530754
54,2012,Evening,8,1,22.34632863,88.37836885
54,2013,Evening,4,1,22.34633153,88.37922146
54,2022,Morning,12,1,22.34633345,88.3793532
54,2003,Afternoon,11,1,22.3463361,88.38024605
54,2006,Afternoon,12,1,22.34634946,88.38205379
55,2001,Morning,11,1,22.34644413,88.44668908
54,2001,Evening,4,1,22.34647131,88.37661407
54,2023,Morning,8,1,22.34671844,88.3748275
54,2012,Evening,3,1,22.34676861,88.37646734
54,2014,Night,8,1,22.34676861,88.37646734
55,2023,Night,11,10,22.34684235,88.45282734
55,2002,Afternoon,5,10,22.34694692,88.44654008
55,2025,Evening,11,4,22.34711608,88.44504056
55,2025,Afternoon,3,1,22.34716874,88.45624456
55,2013,Morning,5,1,22.34728127,88.45624229
55,2022,Night,12,1,22.34729868,88.44412344
55,2002,Night,4,3,22.34740347,88.44733316
55,2010,Night,8,1,22.34747682,88.44897397
55,2021,Night,8,1,22.34749893,88.44654822
54,2018,Afternoon,6,1,22.34750779,88.37807458
55,2017,Evening,9,1,22.34756216,88.4344006
55,2002,Morning,8,7,22.34765552,88.4482926
55,2002,Morning,2,1,22.34771833,88.44897325
54,2018,Evening,11,1,22.34773349,88.3888753
55,2002,Evening,10,17,22.34789586,88.44980305
55,2002,Evening,4,5,22.34806176,88.45090947
55,2023,Morning,9,3,22.34810662,88.44609416
55,2023,Morning,12,3,22.34814882,88.44175725
54,2020,Evening,12,1,22.34814899,88.37910993
54,2006,Afternoon,2,1,22.34815023,88.37847325
54,2008,Night,8,1,22.34821607,88.38416403
54,2014,Afternoon,3,1,22.34824579,88.39376244
54,2022,Evening,9,1,22.34824579,88.39376244
54,2014,Evening,9,1,22.34838608,88.39155753
55,2002,Evening,8,13,22.34846967,88.44866138
54,2020,Night,7,1,22.34859401,88.38689804
54,2002,Morning,7,33,22.34862632,88.38867985
54,2014,Evening,12,1,22.34878585,88.38780768
54,2007,Afternoon,8,1,22.34879906,88.39693761
55,2002,Evening,9,18,22.3488206,88.44946146
54,2011,Night,12,1,22.34882816,88.38935967
54,2018,Evening,2,1,22.34884081,88.38952814
54,2004,Night,7,1,22.3488637,88.38981382
54,2023,Evening,5,1,22.3488637,88.38981382
54,2022,Morning,9,1,22.34888916,88.39012514
55,2002,Afternoon,9,10,22.34893826,88.4519554
54,2009,Afternoon,4,1,22.34895815,88.3969504
54,2023,Morning,1,1,22.3489967,88.3861451
55,2023,Evening,5,1,22.34900806,88.44778876
54,2001,Night,1,1,22.34900848,88.3968046
54,2023,Night,12,4,22.34901501,88.38026308
54,2023,Evening,12,6,22.3490274,88.38935545
55,2023,Night,10,1,22.3490275,88.44655217
55,2003,Evening,11,1,22.34903041,88.4453227
55,2002,Night,5,8,22.34903249,88.44398373
54,2025,Morning,10,4,22.34905888,88.38440609
55,2002,Morning,7,13,22.3490645,88.44956832
54,2011,Afternoon,3,1,22.3490768,88.38779998
54,2025,Afternoon,10,6,22.34910344,88.38601412
54,2006,Night,7,1,22.34914198,88.39695615
54,2016,Afternoon,1,1,22.34915775,88.38323414
55,2002,Afternoon,7,14,22.34923331,88.44603142
54,2023,Evening,10,15,22.34929057,88.3833679
54,2022,Afternoon,12,2,22.34932629,88.39065153
54,2023,Evening,11,15,22.34933668,88.38576702
55,2025,Night,11,2,22.34934148,88.45164889
54,2002,Night,5,35,22.34935013,88.38937405
55,2002,Evening,7,25,22.34935022,88.45060836
54,2017,Evening,2,2,22.34937989,88.39537439
54,2020,Afternoon,4,1,22.34945908,88.38419258
54,2015,Afternoon,4,1,22.34946118,88.38516597
54,2017,Afternoon,6,1,22.34947114,88.39139416
55,2002,Evening,5,20,22.34947273,88.44490448
54,2023,Morning,9,9,22.34947973,88.38837791
54,2002,Evening,10,41,22.34949003,88.39020142
54,2002,Morning,11,22,22.34952171,88.39053103
55,2002,Night,10,5,22.34959371,88.44478025
54,2002,Morning,8,15,22.3496105,88.3912872
55,2023,Afternoon,6,2,22.34962063,88.44448437
54,2002,Afternoon,11,27,22.34963298,88.38846612
54,2002,Evening,8,67,22.34964996,88.38816891
54,2001,Morning,2,1,22.34965783,88.39138163
54,2002,Evening,5,48,22.3496587,88.38961571
54,2022,Night,11,3,22.34966753,88.38360589
54,2020,Evening,8,1,22.34970855,88.38857919
54,2002,Afternoon,12,27,22.34972443,88.39010092
54,2006,Night,11,1,22.34972646,88.39137875
54,2001,Afternoon,12,1,22.34973509,88.38872221
54,2002,Morning,1,1,22.34981129,88.40127442
54,2002,Afternoon,10,30,22.34981145,88.39114015
54,2002,Night,10,23,22.34981667,88.39136611
55,2023,Afternoon,12,6,22.34985666,88.4457571
54,2023,Morning,10,13,22.34986449,88.38771542
54,2002,Night,8,44,22.34989728,88.39100673
55,2025,Afternoon,10,5,22.34990476,88.45175261
54,2009,Afternoon,8,2,22.34990684,88.38476116
54,2022,Evening,6,1,22.34992694,88.37697437
54,2002,Morning,12,16,22.34993022,88.39084761
55,2002,Morning,6,15,22.3499503,88.44412262
54,2002,Morning,6,26,22.34995556,88.38907914
54,2023,Night,11,10,22.34996469,88.38288132
54,2022,Night,12,2,22.34997911,88.3861271
55,2001,Night,11,1,22.34998366,88.43425395
54,2023,Morning,12,3,22.34999572,88.38494998
54,2002,Afternoon,6,39,22.35000246,88.39006452
54,2003,Morning,5,2,22.35001411,88.39167095
54,2002,Afternoon,9,37,22.35008069,88.39143748
54,2002,Evening,9,54,22.35013493,88.38999049
54,2023,Afternoon,10,16,22.35015119,88.38690073
54,2002,Afternoon,7,38,22.35016099,88.38865305
54,2017,Afternoon,9,1,22.3501825,88.39689116
54,2002,Afternoon,8,27,22.35020108,88.39112534
54,2022,Evening,11,2,22.35021804,88.38868241
54,2002,Afternoon,5,39,22.3502292,88.38779723
54,2002,Night,9,18,22.35024866,88.38973329
55,2002,Night,6,10,22.35025782,88.44328981
55,2002,Evening,11,15,22.3502938,88.4475142
54,2002,Afternoon,3,2,22.35030278,88.39137794
54,2021,Night,8,1,22.35030591,88.38958858
54,2006,Evening,12,1,22.35030775,88.38973131
54,2022,Night,6,1,22.35032128,88.39235153
54,2002,Evening,6,50,22.35032264,88.38812894
54,2023,Night,10,11,22.35034313,88.38362626
55,2002,Night,7,7,22.35035038,88.44908911
54,2025,Evening,10,6,22.35036467,88.38901775
54,2023,Afternoon,4,2,22.35043156,88.38509611
54,2023,Afternoon,1,3,22.35043988,88.39080257
54,2002,Evening,12,33,22.35048842,88.38993092
54,2002,Night,7,39,22.35050556,88.39162577
55,2001,Evening,10,1,22.35054118,88.45032871
54,2002,Evening,4,21,22.35061637,88.38981947
54,2023,Afternoon,11,19,22.35062204,88.38424673
54,2025,Night,10,3,22.35064508,88.3967952
54,2002,Night,12,23,22.35072294,88.39109923
55,2002,Afternoon,10,12,22.3507252,88.44410029
54,2002,Afternoon,4,19,22.35074143,88.3899652
54,2022,Night,7,2,22.35083295,88.39559951
54,2007,Evening,9,1,22.35087093,88.39136607
54,2002,Evening,11,25,22.35088806,88.38972466
54,2025,Afternoon,1,1,22.35089837,88.39136638
54,2005,Morning,12,1,22.35096932,88.37880829
54,2002,Morning,9,26,22.35102284,88.3900206
54,2025,Night,11,2,22.35107841,88.38671751
54,2008,Afternoon,3,1,22.35111162,88.38412326
55,2025,Morning,10,1,22.35115723,88.44533023
54,2023,Afternoon,12,5,22.35116463,88.3938248
54,2023,Night,8,1,22.35116732,88.39136577
54,2021,Evening,3,1,22.35118379,88.39136595
54,2025,Afternoon,11,7,22.35118561,88.39051239
55,2023,Evening,9,10,22.35120108,88.44619874
54,2016,Morning,9,1,22.35125095,88.38856729
55,2002,Afternoon,8,14,22.35125434,88.44764948
55,2002,Night,11,7,22.35126549,88.44965071
55,2002,Afternoon,12,5,22.35126791,88.45019363
54,2023,Evening,9,14,22.35127533,88.38996784
54,2002,Night,11,12,22.35127828,88.39002957
55,2002,Evening,12,11,22.35131717,88.45137583
54,2005,Afternoon,4,1,22.35131876,88.37954039
54,2021,Evening,8,1,22.35131876,88.37954039
54,2002,Morning,10,30,22.35133138,88.38940001
54,2002,Evening,7,66,22.35136718,88.3887001
55,2005,Afternoon,2,1,22.3513959,88.44171767
55,2023,Evening,12,1,22.35139592,88.44050276
54,2005,Evening,9,1,22.3514111,88.38406806
54,2022,Evening,12,4,22.35142396,88.38918216
54,2025,Morning,11,3,22.35144521,88.38590066
55,2002,Morning,10,5,22.35146145,88.44702957
54,2023,Night,9,12,22.35150496,88.38731319
54,2002,Night,6,28,22.35150949,88.38969593
54,2001,Evening,7,1,22.35151345,88.39989238
54,2022,Afternoon,8,2,22.35154729,88.39200868
54,2008,Evening,8,1,22.35169701,88.39179259
54,2019,Afternoon,4,1,22.35171278,88.39060712
54,2007,Evening,3,1,22.35174454,88.39337764
54,2003,Afternoon,7,1,22.35174696,88.3934289
54,2007,Night,9,1,22.35177798,88.38941489
54,2008,Afternoon,5,1,22.35182147,88.38731489
54,2013,Night,7,1,22.35182367,88.38783455
54,2002,Afternoon,1,1,22.35182378,88.39472154
54,2002,Night,4,16,22.3518652,88.39045623
55,2002,Night,8,9,22.35193082,88.44591155
55,2025,Evening,10,3,22.35204822,88.44425539
54,2007,Morning,3,1,22.35215467,88.39790533
54,2023,Evening,4,1,22.35218026,88.38829599
54,2023,Night,2,1,22.35223203,88.39782571
54,2018,Evening,7,1,22.35237889,88.39029627
54,2023,Afternoon,9,13,22.35251027,88.38676179
54,2002,Morning,4,22,22.35260606,88.38995004
55,2007,Afternoon,4,1,22.35266091,88.44656709
54,2023,Evening,7,1,22.35268294,88.38037894
53,2017,Evening,1,1,22.35268839,88.36039474
55,2002,Morning,9,7,22.35275225,88.4487864
53,2022,Evening,9,1,22.35294941,88.34944478
54,2018,Night,8,2,22.35310159,88.38407235
54,2023,Evening,8,1,22.35311196,88.37848079
54,2012,Evening,6,1,22.35317936,88.38305223
54,2010,Evening,12,1,22.35319155,88.39067506
54,2002,Morning,5,25,22.35320731,88.39098258
53,2018,Night,1,1,22.35324707,88.35243043
55,2023,Afternoon,10,12,22.35342738,88.4490743
54,2003,Afternoon,4,1,22.35351428,88.37865726
54,2016,Evening,10,1,22.35361409,88.37937197
54,2018,Night,7,1,22.35361645,88.37943421
54,2012,Morning,1,1,22.35363748,88.38482489
54,2007,Night,8,1,22.35366203,88.39178188
53,2023,Night,2,1,22.35368717,88.34997961
54,2023,Morning,11,9,22.35412275,88.38597614
55,2023,Evening,11,11,22.35430601,88.45097013
55,2002,Morning,11,5,22.35435997,88.45606123
55,2025,Afternoon,11,2,22.3545491,88.43848969
53,2008,Afternoon,1,1,22.35456627,88.36072248
55,2023,Night,9,8,22.3545946,88.44936908
55,2012,Evening,4,1,22.35470563,88.43806885
53,2018,Morning,12,1,22.35479518,88.34872522
55,2025,Night,10,3,22.35494699,88.45334081
55,2023,Afternoon,11,16,22.35532941,88.44953642
55,2002,Afternoon,4,7,22.35553321,88.45562235
53,2011,Morning,3,1,22.35554205,88.35594993
55,2002,Night,12,7,22.35583558,88.45213168
55,2002,Morning,12,4,22.35595824,88.4485592
55,2002,Afternoon,6,15,22.3560847,88.45228771
55,2002,Evening,6,21,22.35626559,88.44719876
55,2002,Evening,3,1,22.3562753,88.44293311
53,2022,Evening,4,1,22.35637352,88.35232484
53,2022,Morning,12,2,22.35660408,88.36511441
53,2003,Evening,3,1,22.35704327,88.35230273
55,2023,Night,12,3,22.35712895,88.4561935
53,2012,Afternoon,4,1,22.35731995,88.35828567
53,2001,Evening,7,1,22.35763344,88.35455613
55,2002,Night,9,3,22.35774606,88.45415188
53,2016,Night,8,1,22.35774995,88.35797557
55,2025,Morning,11,2,22.35845131,88.45317115
53,2001,Afternoon,8,1,22.3585164,88.35239902
53,2010,Afternoon,1,1,22.35860786,88.35224995
55,2023,Morning,10,5,22.35868651,88.45077885
53,2012,Morning,1,1,22.35869583,88.3558631
53,2009,Evening,6,1,22.35873963,88.35224404
53,2006,Afternoon,3,1,22.35874798,88.35812542
53,2006,Evening,3,1,22.35875035,88.35818766
53,2003,Afternoon,4,1,22.35896281,88.37232047
53,2019,Morning,3,1,22.3589699,88.36850703
53,2007,Morning,2,1,22.35905081,88.36067592
55,2002,Afternoon,11,8,22.35922087,88.44820532
55,2023,Afternoon,9,12,22.35927974,88.4524975
55,2022,Evening,12,2,22.35935756,88.45189169
55,2025,Afternoon,6,1,22.36022039,88.45432282
55,2023,Evening,10,5,22.36042002,88.4443807
53,2003,Evening,1,1,22.36062878,88.37362345
55,2001,Morning,10,1,22.36085459,88.43457443
53,2023,Morning,8,1,22.36109033,88.35698685
51,2022,Morning,10,1,22.36116406,88.44115869
53,2004,Afternoon,1,2,22.36188939,88.35645927
53,2021,Night,11,1,22.36238692,88.35813543
53,2007,Evening,3,1,22.36277195,88.36653934
53,2010,Night,3,1,22.36306919,88.37351131
53,2012,Afternoon,3,1,22.36311269,88.37136334
53,2023,Evening,5,1,22.36412434,88.35446847
53,2023,Night,3,1,22.36416563,88.35807412
53,2016,Night,9,2,22.36417451,88.35206432
53,2001,Night,6,1,22.36422042,88.36528512
53,2004,Night,8,1,22.36424334,88.35566661
53,2017,Evening,9,2,22.36440285,88.35265604
53,2021,Morning,7,1,22.36440894,88.36407933
51,2021,Morning,4,1,22.36442038,88.43444147
53,2018,Evening,3,1,22.36448489,88.35565822
53,2022,Night,5,1,22.36450216,88.35325371
53,2010,Morning,9,1,22.3645362,88.35805982
53,2010,Afternoon,9,1,22.3645835,88.3520504
53,2006,Morning,3,1,22.36459548,88.35325105
53,2012,Evening,11,1,22.36480668,88.33668386
53,2006,Morning,7,1,22.36498067,88.34806143
53,2017,Afternoon,4,1,22.36502741,88.35124992
53,2011,Evening,8,1,22.36503353,88.35160136
53,2002,Evening,3,3,22.36518817,88.35625781
53,2020,Evening,10,2,22.36522767,88.36199673
53,2007,Evening,2,2,22.36543325,88.35714482
53,2002,Morning,1,1,22.36551165,88.33252962
53,2001,Afternoon,12,1,22.36551203,88.34363461
53,2004,Morning,10,1,22.36581321,88.34835213
53,2022,Night,9,1,22.36594305,88.34591215
53,2006,Morning,1,1,22.36595165,88.36042129
53,2002,Afternoon,3,4,22.36596342,88.35321293
53,2015,Night,3,1,22.36601694,88.34225639
53,2020,Evening,11,1,22.36604499,88.36041498
53,2024,Night,11,1,22.36606558,88.37003424
53,2019,Afternoon,2,1,22.36607287,88.34346851
53,2009,Night,3,1,22.36608795,88.36282021
53,2016,Afternoon,10,1,22.36610601,88.35078197
53,2009,Morning,12,1,22.3661163,88.36401741
53,2005,Morning,7,1,22.36612367,88.35921163
53,2010,Evening,4,1,22.36614698,88.34346563
53,2012,Evening,9,1,22.36614839,88.3385939
53,2008,Morning,3,1,22.36622126,88.34711932
53,2009,Morning,8,1,22.36626712,88.35319577
53,2021,Evening,5,1,22.36640337,88.35198936
53,2012,Evening,10,1,22.36642455,88.35439436
53,2009,Morning,1,1,22.36650285,88.37121764
53,2005,Night,7,2,22.36667171,88.36675221
53,2009,Afternoon,1,1,22.36672554,88.34308742
53,2024,Evening,2,1,22.36684445,88.35120346
53,2003,Afternoon,5,2,22.36701686,88.37062138
53,2001,Afternoon,9,1,22.36704318,88.36413365
53,2016,Evening,7,1,22.367434,88.33977503
53,2013,Night,10,1,22.36771747,88.3543387
53,2002,Evening,2,4,22.36773068,88.36118381
53,2010,Evening,7,2,22.36775119,88.36095264
53,2018,Evening,4,1,22.36783829,88.36156179
53,2003,Evening,10,1,22.36787777,88.33244442
53,2007,Night,5,1,22.36789499,88.35674909
53,2018,Evening,6,2,22.36796532,88.36925005
53,2020,Night,10,1,22.36797801,88.37187076
53,2011,Afternoon,9,1,22.36800014,88.36516164
53,2003,Afternoon,6,1,22.36804812,88.3769301
53,2008,Morning,5,1,22.36804828,88.37690448
53,2020,Night,7,1,22.36804828,88.37690448
53,2021,Night,9,1,22.36805412,88.37728888
53,2025,Afternoon,3,1,22.36813658,88.3603498
53,2008,Afternoon,6,3,22.36817513,88.34726755
51,2025,Morning,9,1,22.3681761,88.41982322
53,2013,Afternoon,5,1,22.36817931,88.3519315
53,2021,Evening,1,1,22.36818953,88.36515639
53,2020,Evening,6,1,22.368238,88.3733158
53,2013,Evening,7,2,22.36828295,88.34621545
53,2021,Evening,3,3,22.36832922,88.37231418
53,2020,Night,11,1,22.36836158,88.36395035
53,2023,Morning,6,2,22.36837862,88.3470394
53,2021,Evening,4,2,22.36841586,88.3693776
53,2025,Morning,10,17,22.36850557,88.35875098
53,2020,Evening,7,3,22.36862589,88.3666586
53,2022,Night,11,5,22.36863399,88.35858577
53,2006,Night,2,1,22.36873696,88.37868739
53,2023,Evening,11,51,22.36884717,88.35961785
53,2021,Evening,9,2,22.36885688,88.37706169
53,2022,Afternoon,12,5,22.36887177,88.34909353
53,2023,Evening,10,55,22.36890113,88.35872268
53,2005,Night,5,2,22.36892094,88.35250499
53,2017,Night,8,2,22.36900615,88.3439659
53,2023,Morning,1,2,22.36903141,88.34641684
53,2002,Morning,6,58,22.36915335,88.35991361
53,2002,Afternoon,4,53,22.36939488,88.35954821
53,2008,Morning,1,1,22.36942041,88.33239092
53,2023,Morning,11,28,22.36948419,88.36282745
53,2002,Morning,8,65,22.36952666,88.36117292
53,2022,Evening,2,1,22.36960505,88.35669432
53,2021,Afternoon,7,1,22.36966565,88.35302358
53,2022,Night,2,1,22.36967635,88.36391342
53,2002,Afternoon,11,91,22.36972559,88.35985972
53,2007,Evening,8,1,22.36973302,88.36630795
53,2023,Night,8,2,22.36973853,88.35549709
53,2019,Evening,9,2,22.36976379,88.3513945
53,2005,Morning,3,1,22.36979341,88.36630495
53,2002,Evening,9,125,22.36979546,88.36087875
53,2013,Evening,8,1,22.36979977,88.37194939
53,2002,Evening,11,93,22.3698399,88.35928823
53,2002,Afternoon,8,108,22.3698773,88.36110511
53,2023,Night,11,37,22.36988589,88.35890064
53,2021,Night,1,1,22.36990061,88.35909142
53,2020,Afternoon,4,1,22.36990793,88.35788722
53,2005,Evening,1,2,22.3699888,88.35427525
53,2021,Afternoon,12,1,22.37000579,88.356684
53,2023,Evening,2,1,22.3700104,88.35908895
53,2002,Morning,12,44,22.37002395,88.36207273
53,2021,Morning,12,1,22.37004238,88.36149786
53,2002,Night,10,44,22.37005575,88.35930482
53,2025,Afternoon,10,21,22.37018496,88.36012524
53,2011,Evening,5,2,22.37018504,88.35426613
53,2008,Night,7,1,22.37019657,88.36991124
53,2004,Morning,2,1,22.37021338,88.36629124
53,2012,Night,2,1,22.3702195,88.37595122
53,2023,Afternoon,10,54,22.37022673,88.35868687
53,2023,Afternoon,9,56,22.37023003,88.35940957
